artist,rank,count,arc
2manydjs,2,4,comeback
2manydjs,3,4,comeback
2manydjs,3,4,comeback
2manydjs,2,4,comeback
Billy Talent,4,7,comeback
Billy Talent,1,7,comeback
Billy Talent,3,7,comeback
Billy Talent,1,7,comeback
Billy Talent,2,7,comeback
Billy Talent,4,7,comeback
Billy Talent,1,7,comeback
Blood Red Shoes,3,5,comeback
Blood Red Shoes,2,5,comeback
Blood Red Shoes,4,5,comeback
Blood Red Shoes,1,5,comeback
Blood Red Shoes,1,5,comeback
Bullet for my Valentine,2,4,comeback
Bullet for my Valentine,1,4,comeback
Bullet for my Valentine,2,4,comeback
Bullet for my Valentine,1,4,comeback
Capdown,3,6,comeback
Capdown,2,6,comeback
Capdown,3,6,comeback
Capdown,3,6,comeback
Capdown,4,6,comeback
Capdown,3,6,comeback
Dinosaur Pile-up,5,5,comeback
Dinosaur Pile-up,2,5,comeback
Dinosaur Pile-up,2,5,comeback
Dinosaur Pile-up,4,5,comeback
Dinosaur Pile-up,1,5,comeback
Don Broco,6,6,comeback
Don Broco,4,6,comeback
Don Broco,1,6,comeback
Don Broco,2,6,comeback
Don Broco,2,6,comeback
Don Broco,2,6,comeback
Lethal Bizzle,4,6,comeback
Lethal Bizzle,4,6,comeback
Lethal Bizzle,3,6,comeback
Lethal Bizzle,2,6,comeback
Lethal Bizzle,6,6,comeback
Lethal Bizzle,2,6,comeback
Lower Than Atlantis,4,4,comeback
Lower Than Atlantis,1,4,comeback
Lower Than Atlantis,2,4,comeback
Lower Than Atlantis,1,4,comeback
Metronomy,4,6,comeback
Metronomy,2,6,comeback
Metronomy,3,6,comeback
Metronomy,2,6,comeback
Metronomy,3,6,comeback
Metronomy,2,6,comeback
Palma Violets,4,4,comeback
Palma Violets,2,4,comeback
Palma Violets,5,4,comeback
Palma Violets,1,4,comeback
Panic! At The Disco,1,5,comeback
Panic! At The Disco,1,5,comeback
Panic! At The Disco,2,5,comeback
Panic! At The Disco,1,5,comeback
Panic! At The Disco,1,5,comeback
Pendulum,2,4,comeback
Pendulum,2,4,comeback
Pendulum,3,4,comeback
Pendulum,2,4,comeback
The Blackout,1,5,comeback
The Blackout,4,5,comeback
The Blackout,1,5,comeback
The Blackout,2,5,comeback
The Blackout,1,5,comeback
The Cribs,4,7,comeback
The Cribs,2,7,comeback
The Cribs,1,7,comeback
The Cribs,2,7,comeback
The Cribs,1,7,comeback
The Cribs,2,7,comeback
The Cribs,1,7,comeback
The Hives,1,4,comeback
The Hives,1,4,comeback
The Hives,2,4,comeback
The Hives,1,4,comeback
The Kills,4,6,comeback
The Kills,2,6,comeback
The Kills,4,6,comeback
The Kills,2,6,comeback
The Kills,4,6,comeback
The Kills,2,6,comeback
The Skints,3,4,comeback
The Skints,3,4,comeback
The Skints,4,4,comeback
The Skints,2,4,comeback
The Wombats,2,5,comeback
The Wombats,5,5,comeback
The Wombats,2,5,comeback
The Wombats,1,5,comeback
The Wombats,1,5,comeback
Twin Atlantic,5,6,comeback
Twin Atlantic,2,6,comeback
Twin Atlantic,1,6,comeback
Twin Atlantic,2,6,comeback
Twin Atlantic,2,6,comeback
Twin Atlantic,1,6,comeback
Two Door Cinema Club,2,5,comeback
Two Door Cinema Club,1,5,comeback
Two Door Cinema Club,2,5,comeback
Two Door Cinema Club,2,5,comeback
Two Door Cinema Club,1,5,comeback
Wiley,4,4,comeback
Wiley,6,4,comeback
Wiley,6,4,comeback
Wiley,2,4,comeback
You Me At Six,4,7,comeback
You Me At Six,2,7,comeback
You Me At Six,1,7,comeback
You Me At Six,1,7,comeback
You Me At Six,1,7,comeback
You Me At Six,2,7,comeback
You Me At Six,1,7,comeback
