artist,rank,count,arc
All Time Low,4,4,quick
All Time Low,1,4,quick
All Time Low,1,4,quick
All Time Low,1,4,quick
Arctic Monkeys,4,4,quick
Arctic Monkeys,1,4,quick
Arctic Monkeys,1,4,quick
Arctic Monkeys,1,4,quick
Bloc Party,2,5,quick
Bloc Party,2,5,quick
Bloc Party,1,5,quick
Bloc Party,1,5,quick
Bloc Party,1,5,quick
Bring Me The Horizon,4,4,quick
Bring Me The Horizon,1,4,quick
Bring Me The Horizon,1,4,quick
Bring Me The Horizon,1,4,quick
Charli XCX,3,4,quick
Charli XCX,3,4,quick
Charli XCX,3,4,quick
Charli XCX,1,4,quick
Dizzee Rascal,2,4,quick
Dizzee Rascal,2,4,quick
Dizzee Rascal,1,4,quick
Dizzee Rascal,1,4,quick
Dropkick Murphys,3,4,quick
Dropkick Murphys,1,4,quick
Dropkick Murphys,1,4,quick
Dropkick Murphys,1,4,quick
Eagles of Death Metal,4,5,quick
Eagles of Death Metal,1,5,quick
Eagles of Death Metal,1,5,quick
Eagles of Death Metal,1,5,quick
Eagles of Death Metal,1,5,quick
Enter Shikari,2,8,quick
Enter Shikari,1,8,quick
Enter Shikari,2,8,quick
Enter Shikari,1,8,quick
Enter Shikari,1,8,quick
Enter Shikari,1,8,quick
Enter Shikari,1,8,quick
Hadouken!,2,5,quick
Hadouken!,2,5,quick
Hadouken!,2,5,quick
Hadouken!,2,5,quick
Hadouken!,1,5,quick
Jimmy Eat World,2,7,quick
Jimmy Eat World,1,7,quick
Jimmy Eat World,1,7,quick
Jimmy Eat World,1,7,quick
Jimmy Eat World,1,7,quick
Krept & Konan,6,4,quick
Krept & Konan,6,4,quick
Krept & Konan,2,4,quick
Krept & Konan,1,4,quick
MUSE,2,6,quick
MUSE,1,6,quick
MUSE,1,6,quick
MUSE,1,6,quick
MUSE,1,6,quick
Paramore,3,5,quick
Paramore,1,5,quick
Paramore,1,5,quick
Paramore,1,5,quick
Paramore,1,5,quick
Queens of the Stone Age,2,6,quick
Queens of the Stone Age,1,6,quick
Queens of the Stone Age,1,6,quick
Queens of the Stone Age,1,6,quick
Queens of the Stone Age,1,6,quick
Queens of the Stone Age,1,6,quick
Rise Against,3,4,quick
Rise Against,3,4,quick
Rise Against,3,4,quick
Rise Against,1,4,quick
The Libertines,2,5,quick
The Libertines,1,5,quick
The Libertines,1,5,quick
The Libertines,1,5,quick
The Libertines,1,5,quick
The Vaccines,2,4,quick
The Vaccines,1,4,quick
The Vaccines,1,4,quick
The Vaccines,1,4,quick
