artist,rank,count,first
Yeah Yeah Yeahs,2,4,2002
Yeah Yeah Yeahs,2,4,2002
Yeah Yeah Yeahs,1,4,2002
Yeah Yeah Yeahs,1,4,2002
Wiley,4,4,2008
Wiley,6,4,2008
Wiley,6,4,2008
Wiley,2,4,2008
White Lies,4,4,2008
White Lies,2,4,2008
White Lies,2,4,2008
White Lies,1,4,2008
Thursday,3,4,2002
Thursday,1,4,2002
Thursday,3,4,2002
Thursday,3,4,2002
The Vaccines,2,4,2011
The Vaccines,1,4,2011
The Vaccines,1,4,2011
The Vaccines,1,4,2011
The Sunshine Underground,4,4,2006
The Sunshine Underground,2,4,2006
The Sunshine Underground,4,4,2006
The Sunshine Underground,5,4,2006
The Skints,3,4,2010
The Skints,3,4,2010
The Skints,4,4,2010
The Skints,2,4,2010
The Offspring,1,4,1999
The Offspring,1,4,1999
The Offspring,1,4,1999
The King Blues,3,4,2008
The King Blues,1,4,2008
The King Blues,3,4,2008
The King Blues,4,4,2008
The Hives,1,4,2002
The Hives,1,4,2002
The Hives,2,4,2002
The Hives,1,4,2002
The 1975,5,4,2013
The 1975,2,4,2013
The 1975,2,4,2013
The 1975,1,4,2013
Ten Tonnes,7,4,2016
Ten Tonnes,5,4,2016
Ten Tonnes,5,4,2016
Ten Tonnes,5,4,2016
Taking Back Sunday,1,4,2004
Taking Back Sunday,1,4,2004
Taking Back Sunday,1,4,2004
Taking Back Sunday,1,4,2004
Sub Focus,3,4,2010
Sub Focus,3,4,2010
Sub Focus,3,4,2010
Sub Focus,2,4,2010
Roots Manuva,3,4,2001
Roots Manuva,3,4,2001
Roots Manuva,1,4,2001
Roots Manuva,3,4,2001
Rise Against,3,4,2005
Rise Against,3,4,2005
Rise Against,3,4,2005
Rise Against,1,4,2005
Reel Big Fish,3,4,2001
Reel Big Fish,2,4,2001
Reel Big Fish,1,4,2001
Reel Big Fish,3,4,2001
Placebo,1,4,2000
Placebo,1,4,2000
Placebo,1,4,2000
Placebo,1,4,2000
Pendulum,2,4,2008
Pendulum,2,4,2008
Pendulum,3,4,2008
Pendulum,2,4,2008
Peace,2,4,2013
Peace,1,4,2013
Peace,2,4,2013
Peace,5,4,2013
Palma Violets,4,4,2012
Palma Violets,2,4,2012
Palma Violets,5,4,2012
Palma Violets,1,4,2012
Our Fold,5,4,2008
Our Fold,5,4,2008
Our Fold,5,4,2008
Our Fold,5,4,2008
Mastodon,1,4,2006
