artist,rank,count,arc
Against Me!,3,4,steady
Against Me!,4,4,steady
Against Me!,3,4,steady
Against Me!,1,4,steady
Alexisonfire,3,6,steady
Alexisonfire,3,6,steady
Alexisonfire,1,6,steady
Alexisonfire,1,6,steady
Alexisonfire,1,6,steady
Biffy Clyro,2,8,steady
Biffy Clyro,4,8,steady
Biffy Clyro,1,8,steady
Biffy Clyro,2,8,steady
Biffy Clyro,1,8,steady
Biffy Clyro,1,8,steady
Biffy Clyro,1,8,steady
Biffy Clyro,1,8,steady
Blossoms,5,4,steady
Blossoms,2,4,steady
Blossoms,1,4,steady
Blossoms,1,4,steady
Cage the Elephant,4,4,steady
Cage the Elephant,2,4,steady
Cage the Elephant,2,4,steady
Cage the Elephant,2,4,steady
Coheed and Cambria,3,4,steady
Coheed and Cambria,2,4,steady
Coheed and Cambria,1,4,steady
Coheed and Cambria,1,4,steady
Dry The River,5,4,steady
Dry The River,2,4,steady
Dry The River,2,4,steady
Dry The River,1,4,steady
elbow,4,5,steady
elbow,2,5,steady
elbow,2,5,steady
elbow,1,5,steady
elbow,1,5,steady
Everything Everything,5,5,steady
Everything Everything,2,5,steady
Everything Everything,2,5,steady
Everything Everything,2,5,steady
Everything Everything,2,5,steady
Foals,3,5,steady
Foals,2,5,steady
Foals,2,5,steady
Foals,1,5,steady
Foals,1,5,steady
Frank Carter,4,4,steady
Frank Carter,1,4,steady
Frank Carter,2,4,steady
Frank Carter,1,4,steady
Giggs,4,5,steady
Giggs,6,5,steady
Giggs,6,5,steady
Giggs,2,5,steady
Giggs,1,5,steady
Interpol,4,4,steady
Interpol,2,4,steady
Interpol,1,4,steady
Interpol,1,4,steady
LCD Soundsystem,3,4,steady
LCD Soundsystem,2,4,steady
LCD Soundsystem,2,4,steady
LCD Soundsystem,2,4,steady
Mystery Jets,4,5,steady
Mystery Jets,2,5,steady
Mystery Jets,2,5,steady
Mystery Jets,1,5,steady
Mystery Jets,1,5,steady
Slaves,7,5,steady
Slaves,4,5,steady
Slaves,2,5,steady
Slaves,1,5,steady
Slaves,2,5,steady
Sub Focus,3,4,steady
Sub Focus,3,4,steady
Sub Focus,3,4,steady
Sub Focus,2,4,steady
Sundara Karma,7,5,steady
Sundara Karma,5,5,steady
Sundara Karma,1,5,steady
Sundara Karma,2,5,steady
Sundara Karma,2,5,steady
Ten Tonnes,7,4,steady
Ten Tonnes,5,4,steady
Ten Tonnes,5,4,steady
Ten Tonnes,5,4,steady
The 1975,5,4,steady
The 1975,2,4,steady
The 1975,2,4,steady
The 1975,1,4,steady
The Gaslight Anthem,3,5,steady
The Gaslight Anthem,2,5,steady
The Gaslight Anthem,1,5,steady
The Gaslight Anthem,1,5,steady
The Gaslight Anthem,1,5,steady
The Joy Formidable,5,6,steady
The Joy Formidable,4,6,steady
The Joy Formidable,2,6,steady
The Joy Formidable,1,6,steady
The Joy Formidable,2,6,steady
The Joy Formidable,1,6,steady
The Maccabees,4,5,steady
The Maccabees,2,5,steady
The Maccabees,2,5,steady
The Maccabees,1,5,steady
The Maccabees,1,5,steady
White Lies,4,4,steady
White Lies,2,4,steady
White Lies,2,4,steady
White Lies,1,4,steady
Yeah Yeah Yeahs,2,4,steady
Yeah Yeah Yeahs,2,4,steady
Yeah Yeah Yeahs,1,4,steady
Yeah Yeah Yeahs,1,4,steady
